Time,UAV0_X,UAV0_Y,UAV0_V,UAV0_Heading,UAV1_X,UAV1_Y,UAV1_V,UAV1_Heading
26,49.9257,3.56669,2.00004,1.64191,29.9565,4.12313,2.00004,1.62959
26.1,50.1256,3.54897,2.00002,1.64191,30.1564,4.10787,2.00001,1.62959
26.2,50.3402,3.5343,2.00089,1.6419,30.3711,4.0958,2.00089,1.62959
26.3,50.5553,3.52329,2.00092,1.64189,30.5865,4.08739,2.00093,1.62958
26.4,50.7753,3.51207,2.00121,1.6419,30.8068,4.07882,2.00122,1.62959
26.5,50.9659,3.49781,1.99947,1.64191,30.9976,4.06693,1.99947,1.6296
26.6,51.1818,3.48104,2.00096,1.64192,31.2136,4.05277,2.00095,1.6296
26.7,51.3969,3.46572,2.0009,1.64193,31.4288,4.04005,2.00089,1.62961
26.8,51.5897,3.45264,1.99961,1.64193,31.6218,4.02937,1.99962,1.62961
26.9,51.7811,3.43789,1.99953,1.64194,31.8133,4.01701,1.99953,1.62962
27,51.9729,3.42878,1.99957,1.64194,32.0054,4.01028,1.99958,1.62962
27.1,52.1693,3.41431,1.99983,1.64195,32.202,3.99825,1.99983,1.62963
27.2,52.3973,3.39929,2.00163,1.64197,32.4302,3.98595,2.00163,1.62963
27.3,52.6101,3.38412,2.00074,1.64198,32.6431,3.97336,2.00074,1.62964
27.4,52.8008,3.36961,1.9995,1.64199,32.834,3.96123,1.9995,1.62965
27.5,53.0159,3.35365,2.00088,1.642,33.0491,3.94787,2.00087,1.62966
27.6,53.1996,3.33911,1.99911,1.642,33.233,3.93566,1.99911,1.62966
27.7,53.4115,3.31583,2.00069,1.642,33.4447,3.91496,2.00066,1.62966
27.8,53.6098,3.30068,1.99993,1.64199,33.6432,3.90226,1.99993,1.62965
27.9,53.8143,3.28549,2.00028,1.64197,33.8478,3.88957,2.00027,1.62964
28,53.9871,3.26933,1.99852,1.64196,34.0207,3.87563,1.99851,1.62963
28.1,54.1758,3.25127,1.9994,1.64193,34.2093,3.85994,1.99939,1.62961
28.2,54.391,3.22995,2.00086,1.6419,34.4245,3.84123,2.00084,1.62959
28.3,54.5805,3.22026,1.99945,1.64186,34.6143,3.8339,1.99947,1.62956
28.4,54.774,3.20215,1.99967,1.64183,34.8079,3.81819,1.99966,1.62954
28.5,54.9938,3.19103,2.00111,1.6418,35.0279,3.80971,2.00112,1.62952
28.6,55.1963,3.17948,2.00016,1.64178,35.2308,3.80064,2.00017,1.6295
28.7,55.4187,3.1673,2.00123,1.64176,35.4533,3.79111,2.00124,1.62949
28.8,55.611,3.15413,1.99961,1.64176,35.6459,3.78033,1.99961,1.62949
28.9,55.7846,3.13975,1.99861,1.64176,35.8196,3.76816,1.99861,1.62949
29,55.9935,3.1258,2.00051,1.64175,36.0287,3.75674,2.00051,1.62948
29.1,56.1941,3.10779,2.00005,1.64175,36.2293,3.74119,2.00004,1.62948
29.2,56.3967,3.0952,2.00016,1.64173,36.4321,3.73108,2.00017,1.62947
29.3,56.6071,3.08186,2.00057,1.64173,36.6427,3.72028,2.00058,1.62947
29.4,56.7892,3.07297,1.99909,1.64172,36.8252,3.71368,1.9991,1.62947
29.5,57.0017,3.05418,2.00068,1.64173,37.0376,3.69746,2.00067,1.62947
29.6,57.2283,3.03605,2.00141,1.64173,37.2643,3.68202,2.00141,1.62947
29.7,57.4427,3.01959,2.00077,1.64172,37.4788,3.66814,2.00076,1.62946
29.8,57.6594,3.00851,2.00089,1.64171,37.6958,3.65966,2.0009,1.62946
29.9,57.8567,2.99535,1.99988,1.64171,37.8933,3.64892,1.99988,1.62946
30,58.0758,2.97519,2.00101,1.64172,38.1124,3.63139,2.001,1.62946
30.1,58.2953,2.96057,2.00102,1.64171,38.3321,3.6194,2.00102,1.62946
30.2,58.5064,2.94545,2.00059,1.64171,38.5433,3.60683,2.00059,1.62945
30.3,58.6943,2.92863,1.9994,1.6417,38.7312,3.59234,1.99939,1.62945
30.4,58.8833,2.91718,1.99947,1.64169,38.9205,3.58324,1.99948,1.62944
30.5,59.0882,2.90769,2.00028,1.64168,39.1258,3.57624,2.0003,1.62944
30.6,59.2876,2.88547,1.99999,1.64169,39.325,3.55646,1.99997,1.62944
30.7,59.4874,2.87122,2.00001,1.64168,39.525,3.54465,2.00001,1.62943
30.8,59.6639,2.85807,1.99885,1.64166,39.7017,3.53374,1.99885,1.62942
30.9,59.8727,2.84086,2.00047,1.64165,39.9105,3.51905,2.00046,1.62941
31,60.0966,2.82442,2.00122,1.64163,40.1346,3.50528,2.00121,1.6294
31.1,60.2984,2.8126,2.00011,1.64162,40.3366,3.49591,2.00012,1.62939
31.2,60.5038,2.79704,2.00029,1.64161,40.5422,3.48284,2.00029,1.62938
